interactor	score
BCL2A1	0.505
MFGE8	0.483
MFGE8	0.483
CDH11	0.468
CDH11	0.468
IRF8	0.637
IRF8	0.637
SPG7	0.44
SPG7	0.44
TP53	0.676
TP53	0.676
IFNAR1	0.451
IFNAR1	0.451
IL22RA1	0.62
IL22RA1	0.62
FCGR2A	0.599
FCGR2A	0.599
CTSK	0.42
CTSK	0.42
CAPN9	0.426
CAPN9	0.426
REG3G	0.442
REG3G	0.442
ACKR3	0.546
ACKR3	0.546
GZMA	0.445
GZMA	0.445
IL9	0.91
IL9	0.91
SPINK7	0.428
SPINK7	0.428
IFNA1	0.68
IFNA1	0.68
NOTCH1	0.683
NOTCH1	0.683
CAPN5	0.43
CAPN5	0.43
IL18	0.808
IL18	0.808
TJP1	0.609
TJP1	0.609
TNFSF4	0.547
TNFSF4	0.547
CAMK4	0.492
CAMK4	0.492
SERPINB3	0.649
SERPINB3	0.649
THY1	0.555
THY1	0.555
CSF1R	0.44
CSF1R	0.44
BATF	0.753
BATF	0.753
ADAMTS3	0.509
ADAMTS3	0.509
CXCL13	0.815
CXCL13	0.815
PPARG	0.597
PPARG	0.597
KIT	0.484
KIT	0.484
IL17RB	0.719
IL17RB	0.719
CD1A	0.446
CD1A	0.446
IL10RB	0.506
IL10RB	0.506
TNFRSF13C	0.4
TNFRSF13C	0.4
AIRE	0.54
AIRE	0.54
NCR1	0.588
NCR1	0.588
CXCR5	0.677
CXCR5	0.677
CCR2	0.642
CCR2	0.642
CCR5	0.662
CCR5	0.662
STAT5B	0.821
STAT5B	0.821
VCAM1	0.83
VCAM1	0.83
CAPN2	0.428
CAPN2	0.428
REL	0.477
REL	0.477
CAPN13	0.428
CAPN13	0.428
FRZB	0.431
FRZB	0.431
CXCR1	0.46
CXCR1	0.46
ALB	0.657
ALB	0.657
IL17RC	0.985
IL17RC	0.985
CXCL3	0.583
CXCL3	0.583
CXCL5	0.732
CXCL5	0.732
CCR1	0.519
CCR1	0.519
IL17RD	0.584
IL17RD	0.584
CAMP	0.577
CAMP	0.577
ANXA5	0.532
ANXA5	0.532
IL15	0.88
IL15	0.88
ITGA2	0.455
ITGA2	0.455
EDIL3	0.545
EDIL3	0.545
TLR3	0.68
TLR3	0.68
IL3	0.69
IL3	0.69
CSF2	0.869
CSF2	0.869
IL22RA2	0.4
IL22RA2	0.4
FABP5	0.462
FABP5	0.462
TNFRSF11B	0.724
TNFRSF11B	0.724
NOS3	0.57
NOS3	0.57
HPRT1	0.544
HPRT1	0.544
RAG1	0.571
RAG1	0.571
CLEC4E	0.45
CLEC4E	0.45
MMP3	0.723
MMP3	0.723
ANPEP	0.499
ANPEP	0.499
STAT6	0.982
STAT6	0.982
NOD2	0.63
NOD2	0.63
CCL11	0.82
CCL11	0.82
BCL2L1	0.425
BCL2L1	0.425
CLEC7A	0.67
CLEC7A	0.67
IGF1	0.42
IGF1	0.42
PTGER4	0.418
PTGER4	0.418
IL16	0.643
IL16	0.643
IL12A	0.533
IL12A	0.533
DEFB4A	0.778
DEFB4A	0.778
CTLA4	0.967
CTLA4	0.967
IL13	0.955
IL13	0.955
CXCL10	0.873
CXCL10	0.873
IL7R	0.67
IL7R	0.67
FOS	0.429
FOS	0.429
CXCL8	0.879
CXCL8	0.879
CXCL11	0.743
CXCL11	0.743
KRT17	0.466
KRT17	0.466
CCL19	0.553
CCL19	0.553
TLR10	0.673
TLR10	0.673
CD34	0.472
CD34	0.472
CASP3	0.477
CASP3	0.477
EMR1	0.511
EMR1	0.511
HAVCR2	0.536
HAVCR2	0.536
TLR8	0.67
TLR8	0.67
LEP	0.533
LEP	0.533
HNRNPD	0.448
HNRNPD	0.448
CD209	0.497
CD209	0.497
STAT2	0.456
STAT2	0.456
CAPN6	0.427
CAPN6	0.427
ROCK2	0.51
ROCK2	0.51
ICOS	0.515
ICOS	0.515
CXCR2	0.574
CXCR2	0.574
CD276	0.567
CD276	0.567
IL17RA	0.999
IL17RA	0.999
DEFB103A	0.671
DEFB103A	0.671
IL23R	0.899
IL23R	0.899
MMP1	0.708
MMP1	0.708
DEFB103B	0.671
DEFB103B	0.671
CD28	0.839
CD28	0.839
NFKBIZ	0.593
NFKBIZ	0.593
CCR8	0.436
CCR8	0.436
RORC	0.905
RORC	0.905
MAF	0.558
MAF	0.558
NOS2	0.499
NOS2	0.499
CSF1	0.636
CSF1	0.636
IL3RA	0.426
IL3RA	0.426
IL25	0.738
IL25	0.738
TNFRSF18	0.598
TNFRSF18	0.598
SOCS1	0.516
SOCS1	0.516
IFNL1	0.403
IFNL1	0.403
SOCS3	0.738
SOCS3	0.738
CAPN12	0.425
CAPN12	0.425
SELE	0.706
SELE	0.706
CD86	0.732
CD86	0.732
CCR10	0.474
CCR10	0.474
PTGDR2	0.497
PTGDR2	0.497
SMAD3	0.451
SMAD3	0.451
LAMP1	0.47
LAMP1	0.47
IFNL2	0.401
IFNL2	0.401
PDCD1	0.553
PDCD1	0.553
NLRP3	0.651
NLRP3	0.651
IL17F	0.986
IL17F	0.986
LCK	0.453
LCK	0.453
IL21R	0.595
IL21R	0.595
ZBTB16	0.445
ZBTB16	0.445
B7RP1	0.537
B7RP1	0.537
TSLP	0.673
TSLP	0.673
TCF7	0.435
TCF7	0.435
PTPN11	0.558
PTPN11	0.558
STAT5A	0.823
STAT5A	0.823
CD5	0.526
CD5	0.526
IL19	0.593
IL19	0.593
JAK1	0.53
JAK1	0.53
GPR29	0.84
GPR29	0.84
