interactor	score
PTPN11	0.921
PTPN11	0.921
HSP90AA1	0.922
HSP90AA1	0.922
HSPA1A	0.925
HSPA1A	0.925
PTPN2	0.928
PTPN2	0.928
IL6	0.939
IL6	0.939
IL10	0.946
IL10	0.946
JUN	0.949
JUN	0.949
STAT5A	0.95
STAT5A	0.95
JAK1	0.952
JAK1	0.952
RUNX1	0.953
RUNX1	0.953
JAK2	0.953
JAK2	0.953
SOCS1	0.955
SOCS1	0.955
RELA	0.959
RELA	0.959
SOCS3	0.962
SOCS3	0.962
IFNGR2	0.968
IFNGR2	0.968
STAT4	0.971
STAT4	0.971
TNF	0.975
TNF	0.975
IRF1	0.98
IRF1	0.98
FOXP3	0.986
FOXP3	0.986
STAT1	0.989
STAT1	0.989
IFNGR1	0.997
IFNGR1	0.997
CFTR	0.561
CFTR	0.561
CX3CL1	0.726
CX3CL1	0.726
CD74	0.597
CD74	0.597
CD4	0.656
CD4	0.656
TNFRSF1A	0.538
TNFRSF1A	0.538
TBX21	0.901
TBX21	0.901
LAG3	0.549
LAG3	0.549
CHRD	0.41
CHRD	0.41
MIF	0.48
MIF	0.48
OSM	0.423
OSM	0.423
MAPK1	0.462
MAPK1	0.462
HMOX1	0.67
HMOX1	0.67
IL2RB	0.821
IL2RB	0.821
GZMB	0.816
GZMB	0.816
NFKBIA	0.434
NFKBIA	0.434
PSME2	0.85
PSME2	0.85
STS	0.491
STS	0.491
TIMP1	0.653
TIMP1	0.653
MMP2	0.638
MMP2	0.638
CCL22	0.561
CCL22	0.561
CCL17	0.546
CCL17	0.546
DECR1	0.515
DECR1	0.515
TNFRSF10A	0.397
TNFRSF10A	0.397
TGFB1	0.815
TGFB1	0.815
CEACAM5	0.625
CEACAM5	0.625
EPOR	0.675
EPOR	0.675
HGF	0.475
HGF	0.475
SERPINE1	0.471
SERPINE1	0.471
MPO	0.581
MPO	0.581
CSF3	0.735
CSF3	0.735
CCL2	0.798
CCL2	0.798
CCL1	0.464
CCL1	0.464
CD38	0.491
CD38	0.491
CXCL6	0.518
CXCL6	0.518
NFKB1	0.4
NFKB1	0.4
IL2	0.938
IL2	0.938
IL10RA	0.803
IL10RA	0.803
KITLG	0.441
KITLG	0.441
CD69	0.708
CD69	0.708
IL23A	0.499
IL23A	0.499
IL26	0.469
IL26	0.469
